Remark,Food name,Weight,Edible,Energy,Protein,Fat,CHO,Dietary fiber,Ash,Cholesterol,Vitamin A,Retinol,Vitamin E,Vitamin C,Vitamin B1 (thaimin),Vitamin B2 (riboflavin),Vitamin B3 (niacin),Calcium,Phosphorous,Potassium,Sodium,Magnesium,Iron,Zinc,Selenium,Copper,Manganese
,,g,g,g,g,g,g,g,g,mg,ugRE,ug,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,ug,mg,mg
,畜肉类,,,,,,,,,,,,,,,,,,,,,,,,,,
肉类,猪肉（均值）,100,100,395,13.2,37,2.4,,0.6,80,,18,0.35,,0.22,0.16,3.5,6,162,204,59.4,16,1.6,2.06,11.97,0.06,0.03
肉类,猪后臀尖,100,97,336,14.6,30.8,,,0.6,87,,16,0.95,,0.26,0.11,2.8,5,130,178,57.5,12,1,0.84,2.94,0.13,
肉类,猪里脊,100,100,155,20.2,7.9,0.7,,0.9,55,,5,0.59,,0.47,0.12,5.2,6,184,317,43.2,28,1.5,2.3,5.25,0.16,0.03
肉类,猪腿肉,100,100,190,17.9,12.8,0.8,,0.9,79,,3,0.3,,0.53,0.24,4.9,6,185,295,63,25,0.9,2.18,13.4,0.14,0.04
肉类,猪大肠,100,100,196,6.9,18.7,,,0.8,137,,7,0.5,,0.06,0.11,1.9,10,56,44,116.3,8,1,0.98,16.75,0.06,0.07
肉类,猪肚,100,96,110,15.2,5.1,0.7,,0.8,165,,3,0.32,,0.07,0.16,3.7,11,124,171,75.1,12,2.4,1.92,12.76,0.1,0.12
肉类,猪肺,100,97,84,12.2,3.9,0.1,,0.7,290,,10,0.45,,0.04,0.18,1.8,6,165,210,81.4,10,5.3,1.21,10.77,0.08,0.04
肉类,猪肝,100,99,129,19.3,3.5,5,,1.5,288,,4972,0.86,20,0.21,2.08,15,6,310,235,68.6,24,22.6,5.78,19.21,0.65,0.26
肉类,猪腰子,100,93,96,15.4,3.2,1.4,,1.2,354,,41,0.34,13,0.31,1.14,8,12,215,217,134.2,22,6.1,2.56,111.77,0.58,0.16
肉类,猪心,100,97,119,16.6,5.3,1.1,,1,151,,13,0.74,4,0.19,0.48,6.8,12,189,260,71.2,17,4.3,1.9,14.94,0.37,0.05
