category,foodname,weight,edible,energy,protein,fat,cho,dietaryfiber,ash,cholesterol,vitaminA,retinol,vitaminE,vitaminB1,vitaminB2,vitaminB3,calcium,phosphorous,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,food_id,vitaminC
Meat&Meat Products,Pork_lean&fat,100,100,395,13.2,37,2.4,0,0.6,80,0,18,0.35,0.22,0.16,3.5,6,162,204,59.4,16,1.6,2.06,11.97,0.06,0.03,1,0
Meat&Meat Products,Pork_rump,100,97,336,14.6,30.8,0,0,0.6,87,0,16,0.95,0.26,0.11,2.8,5,130,178,57.5,12,1,0.84,2.94,0.13,0,2,0
Meat&Meat Products,Pork_tenderloin,100,100,155,20.2,7.9,0.7,0,0.9,55,0,5,0.59,0.47,0.12,5.2,6,184,317,43.2,28,1.5,2.3,5.25,0.16,0.03,3,0
Meat&Meat Products,Pork_leg,100,100,190,17.9,12.8,0.8,0,0.9,79,0,3,0.3,0.53,0.24,4.9,6,185,295,63,25,0.9,2.18,13.4,0.14,0.04,4,0
Meat&Meat Products,Pork_large intentine,100,100,196,6.9,18.7,0,0,0.8,137,0,7,0.5,0.06,0.11,1.9,10,56,44,116.3,8,1,0.98,16.75,0.06,0.07,5,0
Meat&Meat Products,Pork_stomach,100,96,110,15.2,5.1,0.7,0,0.8,165,0,3,0.32,0.07,0.16,3.7,11,124,171,75.1,12,2.4,1.92,12.76,0.1,0.12,6,0
Meat&Meat Products,Pork_lung,100,97,84,12.2,3.9,0.1,0,0.7,290,0,10,0.45,0.04,0.18,1.8,6,165,210,81.4,10,5.3,1.21,10.77,0.08,0.04,7,0
Meat&Meat Products,Pork_liver,100,99,129,19.3,3.5,5,0,1.5,288,0,4972,0.86,0.21,2.08,15,6,310,235,68.6,24,22.6,5.78,19.21,0.65,0.26,8,20
Meat&Meat Products,Pork_kidney,100,93,96,15.4,3.2,1.4,0,1.2,354,0,41,0.34,0.31,1.14,8,12,215,217,134.2,22,6.1,2.56,111.77,0.58,0.16,9,13
Meat&Meat Products,Pork_heart,100,97,119,16.6,5.3,1.1,0,1,151,0,13,0.74,0.19,0.48,6.8,12,189,260,71.2,17,4.3,1.9,14.94,0.37,0.05,10,4
Meat&Meat Products,Pork_blood,100,100,55,12.2,0.3,0.9,0,0.8,51,0,0,0.2,0.03,0.04,0.3,4,16,56,56,5,8.7,0.28,7.94,0.1,0.03,11,0
Meat&Meat Products,Pork floss_with salt_soy sauce&sugar,100,100,396,23.4,11.5,49.7,0,6,111,0,44,10.02,0.04,0.13,3.3,41,162,313,469,55,6.4,4.28,8.77,0.13,0.6,12,0
Meat&Meat Products,Beef,100,99,125,19.9,4.2,2,0,1.1,84,0,7,0.65,0.04,0.14,5.6,23,168,216,84.2,20,3.3,4.73,6.45,0.18,0.04,13,0
Meat&Meat Products,Beef_hind leg,100,100,106,20.9,2,1.1,0,1.1,74,0,3,0.97,0.04,0.14,6.1,5,210,197,45.4,21,3.3,4.07,4.96,0.11,0.02,14,0
